# 2026 24 Hours of Le Mans — 62-car official grid + 6 reserve Hypercar entries
# Official: 18 Hypercar / 19 LMP2 / 25 LMGT3. Reserve: Porsche, Lamborghini, Acura, McLaren, Ford.
# Sources: motorsport.com, 24h-lemans.com, manufacturer technical data (June 2026)
# entry=team_name,car_config_path,class_id,grid,car_number

# Hypercar — 18 cars
entry=Inter Europol Competition,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,31,43
entry=Proton Competition,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,32,44
entry=RD Limited,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,33,48
entry=AO by TF,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,34,99
entry=AF Corse,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,35,183
entry=United Autosports,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,36,222
entry=Inter Europol Competition,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,37,343

# LMGT3 — 25 cars
entry=TF Sport,configs/cars/lemans2026/corvette_z06_lmgt3.txt,LMGT3,38,2
entry=Garage 59,configs/cars/lemans2026/mclaren_720s_lmgt3.txt,LMGT3,39,10
entry=13 Autosport,configs/cars/lemans2026/corvette_z06_lmgt3.txt,LMGT3,40,13
entry=Vista AF Corse,configs/cars/lemans2026/ferrari_296_lmgt3.txt,LMGT3,41,21
entry=Heart of Racing Team,configs/cars/lemans2026/aston_martin_vantage_lmgt3.txt,LMGT3,42,23
entry=Heart of Racing Team,configs/cars/lemans2026/aston_martin_vantage_lmgt3.txt,LMGT3,43,27
entry=Team WRT,configs/cars/lemans2026/bmw_m4_lmgt3.txt,LMGT3,44,32
entry=TF Sport,configs/cars/lemans2026/corvette_z06_lmgt3.txt,LMGT3,45,33
entry=Racing Team Turkey by TF,configs/cars/lemans2026/corvette_z06_lmgt3.txt,LMGT3,46,34
entry=Vista AF Corse,configs/cars/lemans2026/ferrari_296_lmgt3.txt,LMGT3,47,54
entry=Kessel Racing,configs/cars/lemans2026/ferrari_296_lmgt3.txt,LMGT3,48,57
entry=Garage 59,configs/cars/lemans2026/mclaren_720s_lmgt3.txt,LMGT3,49,58
entry=Racing Spirit of Leman,configs/cars/lemans2026/aston_martin_vantage_lmgt3.txt,LMGT3,50,59
entry=Iron Lynx,configs/cars/lemans2026/mercedes_amg_lmgt3.txt,LMGT3,51,61
entry=Team Qatar by Iron Lynx,configs/cars/lemans2026/mercedes_amg_lmgt3.txt,LMGT3,52,62
entry=Team WRT,configs/cars/lemans2026/bmw_m4_lmgt3.txt,LMGT3,53,69
entry=Kessel Racing,configs/cars/lemans2026/ferrari_296_lmgt3.txt,LMGT3,54,74
entry=Proton Competition,configs/cars/lemans2026/ford_mustang_lmgt3.txt,LMGT3,55,77
entry=Akkodis ASP Team,configs/cars/lemans2026/lexus_rc_f_lmgt3.txt,LMGT3,56,78
entry=Iron Lynx,configs/cars/lemans2026/mercedes_amg_lmgt3.txt,LMGT3,57,79
entry=Akkodis ASP Team,configs/cars/lemans2026/lexus_rc_f_lmgt3.txt,LMGT3,58,87
entry=Proton Competition,configs/cars/lemans2026/ford_mustang_lmgt3.txt,LMGT3,59,88
entry=Manthey DK Engineering,configs/cars/lemans2026/porsche_911_gt3_r.txt,LMGT3,60,91
entry=The Bend Manthey,configs/cars/lemans2026/porsche_911_gt3_r.txt,LMGT3,61,92
entry=Richard Mille AF Corse,configs/cars/lemans2026/ferrari_296_lmgt3.txt,LMGT3,62,150

# Reserve Hypercar — not on 2026 Le Mans grid (previous seasons, IMSA, or announced 2027)
entry=Porsche Penske Motorsport,configs/cars/lemans2026/porsche_963.txt,Hypercar,63,5
entry=Porsche Penske Motorsport,configs/cars/lemans2026/porsche_963.txt,Hypercar,64,6
entry=Iron Lynx,configs/cars/lemans2026/lamborghini_sc63.txt,Hypercar,65,63
entry=Meyer Shank Racing,configs/cars/lemans2026/acura_arx06.txt,Hypercar,66,60
entry=McLaren Hypercar Team,configs/cars/lemans2026/mclaren_mcl_hy.txt,Hypercar,67,25
entry=Ford Racing,configs/cars/lemans2026/ford_lmdh_2027.txt,Hypercar,68,66
